Abstract_ID,Cluster_Ward,Cluster_AGNES
HINZEN2024110952,1,1
FIGLIOLIA2020102968,2,1
FERNANDEZCABALLERO2003341,2,1
TABACHNECKSCHIJF1997305,1,1
PITTNAUER2023382,5,1
COSTA201227,2,1
ZOCCA2019100,2,1
FADLALLA1995987,1,1
YU2022102230,5,1
RANJBARI2023124,2,1
HOFFMAN202472,1,1
BENZEKRY201553,2,1
PESTI20132487,1,1
TOYOTA2025109094,1,1
BUCKER20031309,2,1
ASADZADEH2024100694,2,1
TAPIAS202478,2,1
8615232,5,1
BRENT19961,1,1
HAN2020382,1,1
DIRKSEN2022102994,2,1
MULLER2021103546,1,1
SAFARZYNSKA20121011,2,1
RUBENSTEIN2022101030,4,1
GILL2019556,2,1
MONTEJOLOPEZ20248615,2,1
BAKEEVA2022676,2,1
DILERNIA2023100383,2,1
MASEL2007216,5,1
10342931,5,1
MENG2023103514,1,1
ISOLAN2024111786,2,1
PU2023102577,2,1
KARSAKOV2015730,5,1
OCAK2023100146,1,1
TURNER2024,1,1
SAIG2024100703,4,1
DEGRANDE201960,1,1
FERGUSON2024286,1,1
KIM201716,2,1
GOLDSCHMIDT2006549,1,1
BAKALA2021100337,5,1
WANG2024104116,2,1
TAYLOR2022109098,2,1
BAN2020102789,2,1
KUIPERS2008155,1,1
BAGO2018483,2,1
ARTHUR2023638,1,1
WEHNER202387,1,1
ROMANGONZALEZ2018441,4,1
SEWING2008e9,2,1
SUN2012227,1,1
DELLACQUA20241727,1,1
BACK202423,3,1
SHI2018117,2,1
BICER2021100823,5,1
FANG2025105264,5,1
BAUMANN20101561,2,1
WU20183,1,1
BATZIAS20121889,5,1
HAMANN2024153975,2,1
MOSSAD2016320,1,1
CHEEMA2022100123,2,1
VIERTEL2019109,2,1
HENRY2016119,2,1
WANG2024103787,1,1
WU1999147,2,1
ALRAKHAMI2021107573,2,1
BIRO2015876,5,1
NOH2006554,2,1
WEBB2010903,5,1
VARGO2017260,2,1
SPUZIC20161,5,1
KWON2024488,1,1
IANDOLI2014298,1,1
GANNON2025R152,2,1
KULJANIN2024101797,1,1
HARDING2024295,1,1
ITO2024326,2,1
MIRTSOPOULOS2023103518,2,1
CHRISTAKOU2014302,1,1
KLASIOS2016103,1,1
QIAN2024117679,2,1
KWON2019109608,2,1
BELIK2023113555,2,1
6926576,5,1
QUINLAN2007413,1,1
VANDERVERT2003159,1,1
BURKE2024102382,2,1
BELLO2025100031,2,1
TAKEUCHI2020116577,1,1
GILBERT2018278,1,1
SHARMA20221,5,1
YANG20242009,2,1
CIMBUROVA2023127839,2,1
LIU2022101169,5,1
BAUSO201776,2,1
HEIRDSFIELD200257,5,1
MAMMINO2022100743,2,1
KARIMI199745,1,1
DELOLMOMUNOZ2020103832,5,1
PASMAN201880,2,1
TERAN2017384,1,1
KNUUTTILA201476,2,1
SUCHANTKE2020439,1,1
6022208,1,1
TUCKERRAYMOND2021104284,5,1
KISS2020106823,5,1
CAI2024102329,5,1
CLERJUSTE2024105922,5,1
ZHOU2024124298,1,1
CHAKRABORTY2021113486,2,1
CANCHIG2025100445,2,1
ZHANG2022104630,2,1
ZHU2006287,2,1
JIANG2020556,2,1
KALAY199837,2,1
GEORGIEV2023102292,2,1
LIGOMENIDES200910,1,1
GALTIER201683,2,1
ISLAM2021104757,1,1
SHARIF2022104090,2,1
ZETSCHE201856,1,1
HOLZINGER2025103032,1,1
ASAI1991323,2,1
BRANICKY199567,2,1
YIP2023319,1,1
JOHNSON2025101757,5,1
ANDERSON2024108366,2,1
10505497,5,1
LI2021104369,2,1
CHOU2024105940,1,1
IIVARI2023100600,5,1
ZHANG2001883,1,1
PEREZ2008755,1,1
TRELEAVEN198859,2,1
OREILLY2016547,2,1
VALLE2025105242,5,1
6990184,5,1
ZENG2024123400,2,1
BENZEEV1995341,1,1
DANOS200773,2,1
THANKACHAN2024101283,1,1
ALCANTUD2022118276,2,1
MALONEY2020102939,5,1
WARING2015254,2,1
TROCHIM2017176,2,1
DALLAQUA2021422,2,1
OUDMAN2018214,1,1
CHEUNGKONG2025105281,5,1
AMMAR2018116,1,1
KOSTERHALE201465,1,1
MADARIAGA2023104664,5,1
ALSAMHORI2024100133,3,1
LOURENCO2020258,1,1
GENTILE20221,1,1
HODGENS2021102149,1,1
CAI20051145,2,1
LLOYD2017A1,5,1
VAITESSWAR2024210,2,1
YANOVA201682,1,1
DEGIORGI2008470,5,1
HAN2025101699,2,1
DEVOE2012466,1,1
EGRINAGY2008135,1,1
NASSAR2024101407,1,1
9990631,5,1
ENDICOTT2003403,1,1
LI2012498,5,1
NAPIER2014331,2,1
HICKS2007233,2,1
ZHANG2021177,5,1
DENEF201893,1,1
CAPUTA2025123862,2,1
MAVRIDIS202311223,2,1
ALMOJEL2000297,2,1
RIEGER1977315,2,1
GRANJO202021,5,1
FUCHS2023103688,1,1
RAJPUT2021104270,2,1
LIU2023100050,2,1
KONG2022104562,5,1
GUERRERO2023107817,5,1
GREEN20214139,2,1
9796660,5,1
FISCHER2012303,1,1
MOHAMED2022152376,2,1
LENG2025528,2,1
JOO2024226,3,1
BAYER202380,1,1
JOSWICK2025104908,5,1
LIU2024100744,1,1
SHIVHARE2016243,1,1
MOLINSRUANO2018428,5,1
ZHOU20241018,2,1
LEVYGARBOUA2024102438,1,1
ACAR2016861,5,1
CHAKRABORTY2013180,2,1
IGAMBERDIEV201715,2,1
ELLIOT201878,2,1
WANG2024130178,2,1
ISRAELFISHELSON2022104353,4,1
ALLEN2006428,1,1
CARAYON2010657,2,1
PAN2006448,1,1
LINDGAARD201783,1,1
YANG2022849,2,1
PAPADOPOULOS2019210,5,1
SIEGELMANN2013117,1,1
CHALMERS201893,5,1
MCGILL2021113697,2,1
WANG2022e09982,2,1
FERNANDEZ20181,2,1
HU2018275,2,1
ANDIC2023490,2,1
PANTALEON201579,2,1
10261600,5,1
SONOBE2022101560,2,1
TALWAR2021102341,2,1
FOURNY2020102332,1,1
MACK2000307,5,1
OZAYDINLIK2024101687,5,1
BEATY201922,1,1
LEUKHIN2018300,1,1
KULIHA2024161,2,1
CHEN202321,1,1
KLEEBARILLAS2015455,2,1
SHEFFIELD20221149,1,1
KOWALCZUK2019206,1,1
MUSTAPHA2025103066,5,1
LEGLEITER20131,1,1
MORCH2023100697,1,1
KHODADADI2022104354,2,1
TSUTSUI201856,2,1
CHESHMEHZANGI20161085,2,1
FIGUEIRASAMPAIO2009484,5,1
NOSS201263,1,1
MASELLI20235395,2,1
DUNNE2013387,1,1
VIDENOVIK2022,5,1
KLEINSCHMIDT2004842,1,1
MULDNER2015127,1,1
TIAN2015338,2,1
10107843,5,1
KOKOLAKIS2023110732,1,1
KASNECI2023102274,2,1
GENTILI2024150060,2,1
